100	LAKES & RIVERS	River mentioned most often in the Bible	the Jordan
200	LAKES & RIVERS	Scottish word for lake	loch
400	LAKES & RIVERS	American river only 33 miles shorter than the Mississippi	the Missouri
500	LAKES & RIVERS	World's largest lake, nearly 5 times as big as Superior	the Caspian Sea
100	INVENTIONS	Marconi's wonderful wireless	the radio
200	INVENTIONS	In 1869 an American minister created this "oriental" transportation	the rickshaw
300	INVENTIONS	A 1920's hunting trip to Canada inspired Birdseye's food preserving method	freezing
400	INVENTIONS	This fastener gets its name from a brand of galoshes it was used on	a zipper
100	ANIMALS	These rodents first got to America by stowing away on ships	rats
200	ANIMALS	There are about 40,000 muscles & tendons in this part of an elephant's body	the trunk
300	ANIMALS	When husbands "pop" for an ermine coat, they're actually buying this fur	a weasel
400	ANIMALS	Close relative of the pig, though its name means "river horse\"	the hippopotamus
500	ANIMALS	If this species of hybrid's parents were reversed, you'd get a hinny	mule
100	FOREIGN CUISINE	The "coq" in coq au vin	chicken
200	FOREIGN CUISINE	A British variety is called "bangers", a Mexican variety, "chorizo\"	sausages
300	FOREIGN CUISINE	Jewish crepe filled with cheese	a blintz
400	FOREIGN CUISINE	French for a toothsome cut of beef served to a twosome	Châteaubriand
100	ACTORS & ROLES	Video in which Michael Jackson plays a werewolf & a zombie	\"Thriller\"
200	ACTORS & ROLES	2 "Saturday Night" alumni who tried "Trading Places\"	Dan Aykroyd & Eddie Murphy
300	ACTORS & ROLES	He may "Never Say Never Again" when asked to be Bond	Sean Connery
400	ACTORS & ROLES	The blonde preferred in the film "Gentlemen Prefer Blondes\"	Marilyn Monroe
500	ACTORS & ROLES	Sam Shepard played this barrier breaker in "The Right Stuff\"	Colonel Chuck Yeager
200	THE BIBLE	When "Joshua Fit The Battle Of Jericho", these took a tumble	the walls
400	THE BIBLE	His price was 30 pieces of silver	Judas
600	THE BIBLE	According to the Bible, it wasn't necessarily an apple	the forbidden fruit (or the fruit of the Tree of Knowledge)
800	THE BIBLE	Though its name means "city of peace", it's seen over 30 wars, the last in 1967	Jerusalem
1000	THE BIBLE	According to 1st Timothy, it is the "root of all evil\"	the love of money
200	\'50'S TV	Occupation of Richard Diamond, Peter Gunn & Mike Hammer	private eyes (or private detectives)
400	\'50'S TV	She was "Our Miss Brooks\"	Eve Arden
600	\'50'S TV	Amount Michael Anthony gave out each week on behalf of John Beresford Tipton	$1 million
